id,Name,titleProject_id,class,s,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,4CmBjx4G
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,44DIhNJ9
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,Np6jT2JZ
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,v05zSzKJ
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,Z89Wh710
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,49V8eQE3
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,9qK4Kbx4
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,W0nJx597
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,CD26c2FJ
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,165SG2Rk
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,UUy458zQ
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,0ThqEN2O
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,C0Bb9mAB
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,B45gX83A
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,6DdLrZjN
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,Sh2c2SF4
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,B5wrYC9W
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,WmY8R3xX
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,eVga78KL
19,Феклисов Константин Виталиевич,270,9т,N,Феклисов_КВ,G2dN4241
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,992u0DVQ
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,aVKCwy62
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,ZjZfHc87
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,35K9pCH7
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,rYxGB38M
25,Кулишнин Вячеслав Яковлевич,386,11х,5,Кулишнин_ВЯ,8sE10Lx9
26,Лексин Кирилл Антонович,139,7в,5,Лексин_КА,LHUiw1s9
27,Лаковский Григорий Василиевич,240,7д,5,Лаковский_ГВ,ea8M054E
28,Барамыкова Александра Алексеевна,106,10а,3,Барамыкова_АА,IiAB3psH
29,Плясулина Оксана Андреевна,346,8х,2,Плясулина_ОА,t22C22PQ
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,p4TDYpf3
